Rank ID Cosine_Similarity Relevant
513 41607 0.13127630092235024 1
800 31611 0.10181109848201213 1
878 28394 0.09562329486941037 1
1303 22175 0.07061716658538263 1
1501 33217 0.06221467943993685 1
2585 48621 0.03812015260387854 0
3382 18109 0.031102255078155304 1
3412 13723 0.030963664070411415 0
3430 49406 0.03088032137188047 1
3737 8464 0.029089947077141888 1
4246 43475 0.026911647787261607 0
4377 41268 0.026411353468161848 0
4650 15512 0.025542260063831125 1
6872 50030 0.020641284423004794 0
6937 17913 0.020541696249494448 0
7771 46675 0.019321909685145983 0
8156 24349 0.018806353788141952 0
8543 46874 0.018287987044973773 1
9185 52878 0.017522099639265116 0
9755 2963 0.016871082175260163 0
10217 20108 0.016408162844738852 0
10401 4323 0.016221631197680383 0
10901 33410 0.01574251142416596 1
11239 26454 0.015418791439340105 0
11341 38176 0.015313560940658628 1
11770 46026 0.014893078028170513 1
11837 47203 0.014840000460684044 0
13841 52310 0.013158178878464447 0
14004 8466 0.013018913921973992 0
14011 26519 0.013014795555759628 0
14684 1374 0.012463547915934813 0
15074 44165 0.012122269137844094 0
15222 1660 0.011968852797190382 0
15827 49586 0.011445931097985085 0
15998 10027 0.011291782778877634 0
17210 36788 0.00984384370959639 0
17479 40590 0.009402384526977819 0
18307 41753 0.006564420254183255 1
