Rank ID Cosine_Similarity Relevant
742 11875 0.007287804686913606 0
817 33410 0.007097218311089771 0
855 18109 0.007010936448107531 0
1555 43475 0.006066307792673896 0
2312 34728 0.005478591277400706 0
2518 35129 0.005349456638767064 0
2823 40428 0.005196675985720084 0
2848 20756 0.005177368645624408 0
3035 27270 0.0050863312210708694 0
3434 18081 0.004923403575014964 0
3580 20741 0.004873959731135211 0
4198 50030 0.004652869476292061 0
5199 46675 0.00435546170263955 0
5672 24349 0.004239247311745399 0
6182 46874 0.004122399312009293 0
6501 24732 0.004050140380026025 1
6843 39692 0.003979452861456162 0
6984 52878 0.003949756270071133 0
7152 39204 0.003912649771847989 0
7998 28783 0.0037429788705570454 0
9338 54060 0.0035079793751806015 0
9455 13723 0.0034898479298800804 0
9550 48906 0.0034758249036660293 0
9686 38176 0.0034519169841348736 0
10235 46026 0.0033571335361321005 0
11378 6468 0.0031751661572885625 0
12896 32254 0.0029396668633575856 0
12925 8466 0.0029346675313729567 0
13257 15512 0.002878813153556969 0
13328 466 0.0028676353989320726 0
13423 48644 0.0028511098180949066 0
13488 44395 0.0028396921188921006 0
13662 1374 0.0028094793170780163 0
13738 48874 0.0027994843129802082 0
13750 2635 0.002797595026039845 0
13913 13155 0.002768234475861265 0
13938 36015 0.0027648726618936066 0
14053 2001 0.002748531367115482 0
14312 47560 0.002707446905346608 0
14408 41607 0.002690158056784238 0
14557 39907 0.0026662243139928257 0
14946 5186 0.0025972662564394673 0
15288 19032 0.002536322652016472 0
15450 8101 0.0025070535878841315 0
16989 40590 0.0021194450438936085 0
17363 39147 0.0019625836199238652 0
17868 41753 0.00147972335462816 0
