Rank ID Cosine_Similarity Relevant
115 10929 0.08403940277771962 0
237 33890 0.06777064884728985 0
592 50636 0.053409736151037106 0
804 597 0.04866670963542796 0
1646 2635 0.03859495106781572 0
1725 31611 0.03787284322353076 0
2462 1660 0.03290972230391479 0
3231 39147 0.029251655023250785 0
3520 10027 0.028225492061150236 0
3553 19032 0.028125441963060754 0
3608 48874 0.027939292407360965 1
3706 36015 0.027593862702351955 0
4367 466 0.02543951193899088 0
4517 35297 0.025047861402714887 0
5173 29448 0.023498260136590295 0
5257 18109 0.023323415026221393 0
6369 2963 0.021085890745772523 0
6526 35317 0.020806599976043245 0
6661 22175 0.020593780741685077 0
6743 40411 0.020462894293313983 0
7162 40961 0.0197739070784736 1
7388 15353 0.01941287142354165 0
7442 13723 0.01934957197455027 0
7871 33729 0.018708576787511845 0
8986 49586 0.01716648523967244 0
9425 8101 0.01668052527818383 0
9681 41753 0.01640874566920423 0
10483 54060 0.01556008187614694 0
10567 52534 0.015483846722519803 0
10571 50030 0.015478788983701348 0
11658 41579 0.014430380841507795 0
11974 51006 0.014136676948765274 0
12025 6468 0.014083847164933036 0
13485 19989 0.012850404751623735 0
13567 33590 0.012786759244823885 0
13751 48644 0.012646454685942724 0
13961 1374 0.012461797384662418 0
14402 44165 0.01212056653988713 0
14659 41607 0.011932532990215787 0
14748 35129 0.011864092457474608 0
14784 26022 0.011832205573411428 0
15174 48906 0.011563092517913437 0
15236 5186 0.011520499775535637 0
15699 46026 0.011168239698248976 0
15750 47203 0.01112843711377533 0
15834 21410 0.011070775957357885 0
17374 52389 0.010016089332609083 0
17756 8466 0.009762814041291713 0
17762 26519 0.009759725700455779 0
18046 15512 0.009577002225070602 0
18226 44395 0.009446857538337605 1
18653 52022 0.009187794690650966 0
18997 24732 0.008982452458097668 0
19190 39907 0.008869778907358784 0
19374 52878 0.008759819311931883 0
19423 40981 0.008723080967060893 0
19901 19291 0.008445736660977799 0
20356 20865 0.008152505969264517 0
21188 38176 0.007655705059559478 0
21874 34813 0.007304280872841726 0
22812 53259 0.006829381141167668 1
23232 41268 0.006601910984634904 0
23396 32254 0.006519630275774522 0
23561 50890 0.006440951038178283 0
24279 2001 0.0060957275595830964 0
24308 49669 0.006080243345927737 0
24504 28394 0.005975616523651023 0
24952 40428 0.005762626798329462 0
24999 20756 0.005741216767043013 0
25216 27270 0.0056402647923913885 0
25796 20741 0.005404764706862235 0
26008 14355 0.0053219429347453875 0
27213 4016 0.004849837427853726 0
27467 25347 0.004758628618799239 0
27797 24456 0.004643993438145273 0
29567 4323 0.004054838208945291 0
29580 33443 0.004051262692692376 0
30181 26454 0.003854156459489412 0
30305 10656 0.00380763493490725 0
30794 8464 0.0036357326666833084 0
31224 5424 0.003494161730855086 0
32277 53621 0.003090818488979944 0
32468 47560 0.003002304960839813 0
32636 51265 0.00291783711676503 0
33315 36788 0.0024606152803094716 0
33391 48621 0.0023821749093139127 0
33417 40590 0.002350265985620322 0
